scenario,seed,steps,burn_in,lookahead,final_age,mean_postburn_age,replacement_rate,switch_rate,final_abs_habitus
Two-frame naive,20260737,5000,1000,20,253.83333333333334,322.3702760416665,0.0035677083333333333,0.05132522840987516,0.6498896738101697
Two-frame naive,20260738,5000,1000,20,355.2916666666667,257.98518749999994,0.004078125,0.05254303771409751,0.6194242172558232
Two-frame naive,20260739,5000,1000,20,356.4166666666667,263.2856822916666,0.004192708333333333,0.05125954949338102,0.642499357036965
Two-frame naive,20260740,5000,1000,20,256.7291666666667,249.01408333333325,0.004229166666666667,0.05279613389328064,0.8012120026871745
Two-frame naive,20260741,5000,1000,20,264.2708333333333,297.8594375,0.0038385416666666668,0.04814973041752934,0.6754468027364151
Two-frame naive,20260742,5000,1000,20,309.1875,317.06978124999983,0.003578125,0.04683197483374115,0.6484276144089468
Two-frame naive,20260743,5000,1000,20,271.0625,276.82270833333325,0.004151041666666667,0.05129913067005459,0.6917294675638163
Two-frame naive,20260744,5000,1000,20,297.0208333333333,323.3495677083333,0.0037447916666666667,0.0481812362758015,0.7045210700883712
Two-frame naive,20260745,5000,1000,20,229.41666666666666,319.26872916666673,0.0037239583333333335,0.04717858613306984,0.627777480215279
Two-frame naive,20260746,5000,1000,20,238.70833333333334,306.839859375,0.0036875,0.04643973508375683,0.6649905852356183
Two-frame naive,20260747,5000,1000,20,298.4583333333333,314.05705729166687,0.0037447916666666667,0.04970490502854633,0.6732651928071504
Two-frame naive,20260748,5000,1000,20,341.9583333333333,312.2744114583333,0.004015625,0.050650509559884566,0.6600499175401299
Two-frame naive,20260749,5000,1000,20,422.3958333333333,304.6041197916665,0.0037916666666666667,0.051282588109354425,0.7418356494498365
Two-frame naive,20260750,5000,1000,20,326.8125,294.24152083333337,0.0038229166666666667,0.04996403573781292,0.7205530749625005
Two-frame naive,20260751,5000,1000,20,332.7083333333333,298.69656249999986,0.0040885416666666665,0.05060816589811156,0.6824166843765891
Two-frame naive,20260752,5000,1000,20,369.8333333333333,270.31658333333337,0.004114583333333333,0.051618535902503294,0.5960927873590003
Two-frame naive,20260753,5000,1000,20,331.25,280.23355729166656,0.003875,0.049507699275362325,0.6293555576862527
Two-frame naive,20260754,5000,1000,20,409.9791666666667,291.71420312500004,0.0037552083333333335,0.05120483777997366,0.6932282319713404
Two-frame naive,20260755,5000,1000,20,311.7291666666667,294.18138541666667,0.003947916666666666,0.049362683512140036,0.5785904730158856
Two-frame naive,20260756,5000,1000,20,306.4166666666667,252.30809374999987,0.004489583333333333,0.05266411102484473,0.6657695121562934
Two-frame naive,20260757,5000,1000,20,359.1666666666667,268.5163229166667,0.003828125,0.05093672732762407,0.9110766264132414
Two-frame naive,20260758,5000,1000,20,343.875,279.7637239583333,0.00403125,0.04964429818370037,0.872993237243024
Two-frame naive,20260759,5000,1000,20,291.8125,301.0126875,0.004135416666666667,0.05444902832674572,0.6785971431183114
Naive,20260730,5000,1000,20,235.6875,308.449890625,0.004338541666666667,0.07751823122529646,0.5848338226844635
Naive,20260731,5000,1000,20,323.5625,255.39093229166662,0.004916666666666666,0.07742082509881422,0.6803090750335351
Naive,20260732,5000,1000,20,375.625,286.9713489583333,0.00409375,0.0756425218802936,0.638643335439328
Naive,20260733,5000,1000,20,380.9791666666667,287.8890625,0.004145833333333333,0.07162912902315077,0.7272963956219566
Naive,20260734,5000,1000,20,172.0,287.6533489583332,0.004572916666666667,0.07001410161396575,0.5702514631115453
Naive,20260735,5000,1000,20,276.2083333333333,293.7616822916665,0.004567708333333333,0.06984006015120145,0.6504022964976465
Naive,20260736,5000,1000,20,170.91666666666666,311.97878645833333,0.004458333333333333,0.0747989365706757,0.6245312647894316
Naive,20260737,5000,1000,20,403.6458333333333,318.12361458333334,0.0039791666666666664,0.06942643280632413,0.6608423607217355
Naive,20260738,5000,1000,20,172.58333333333334,270.429453125,0.005239583333333333,0.07806719367588931,0.6337039475299436
