seed,timing,habit,steps,burn_in,population,ring_y,lookahead,error_rate,habit_weight,encounters,failures,encounter_rate,failure_rate,compatibility_rate,precoordination_rate,disposition_alignment,disposition_predictability,death_rate,persistence,convention_strength,mean_abs_habitus
20260812,sequential,true,600,150,120,300,60,0.01,0.5,5394,84,0.09988888888888889,0.01557285873192436,0.9844271412680756,0.9825810076793406,0.9986888930511332,0.9908582089552239,0.004166666666666667,0.9819042316258352,0.9833333333333333,0.9617933793919795
20260812,simultaneous,false,600,150,120,300,60,0.01,0.5,5505,126,0.10194444444444445,0.022888283378746595,0.9771117166212534,0.9737180665318875,0.9959566256202904,0.9870177363320534,0.005962962962962963,0.9694628737617014,0.9166666666666666,0.9083577162497971
20260812,simultaneous,true,600,150,120,300,60,0.01,0.5,5346,95,0.099,0.017770295548073325,0.9822297044519267,0.9790328673970533,0.9964110313562523,0.9893757051523129,0.004333333333333333,0.9762350299401198,0.9833333333333333,0.9657957787263719
20260813,sequential,false,600,150,120,300,60,0.01,0.5,5412,118,0.10022222222222223,0.02180339985218034,0.9781966001478196,0.9721651410424061,0.9940220437138053,0.9853064261136427,0.006666666666666667,0.970498474059003,0.9333333333333333,0.8996422416974655
20260813,sequential,true,600,150,120,300,60,0.01,0.5,5407,101,0.10012962962962962,0.018679489550582577,0.9813205104494174,0.9790654205607476,0.9979439252336448,0.9895746067206553,0.005092592592592593,0.9779650032404407,0.9833333333333333,0.9233660124421075
20260813,simultaneous,false,600,150,120,300,60,0.01,0.5,5314,108,0.0984074074074074,0.020323673315769664,0.9796763266842303,0.9652157384527656,0.9851739213077362,0.9823067461443845,0.004703703703703704,0.9740186388025981,0.9166666666666666,0.9342773464083564
20260813,simultaneous,true,600,150,120,300,60,0.01,0.5,5481,93,0.1015,0.016967706622879036,0.983032293377121,0.9761029411764706,0.9924632352941176,0.9880897846999542,0.004240740740740741,0.9780941949616648,0.9833333333333333,0.9539804633059729
20260814,sequential,false,600,150,120,300,60,0.01,0.5,5469,122,0.10127777777777777,0.022307551654781495,0.9776924483452185,0.9657850933974478,0.9885333826521177,0.9822414427677586,0.005944444444444444,0.9695361815021498,0.9833333333333333,0.9429031582468289
20260814,sequential,true,600,150,120,300,60,0.01,0.5,5311,118,0.09835185185185186,0.0222180380342685,0.9777819619657315,0.944793451361127,0.9672568056348753,0.9722406442444339,0.0054444444444444445,0.9730519174597192,0.9833333333333333,0.9557915653148146
20260814,simultaneous,false,600,150,120,300,60,0.01,0.5,5468,109,0.10125925925925926,0.019934162399414777,0.9800658376005852,0.9760059062384644,0.9957548911037283,0.9876838235294118,0.005037037037037037,0.9694446985637178,0.95,0.9499053239261789
20260814,simultaneous,true,600,150,120,300,60,0.01,0.5,5449,109,0.1009074074074074,0.020003670398238207,0.9799963296017618,0.9699610606341554,0.9899870202113852,0.9851352599021328,0.005222222222222222,0.975016074216956,0.9833333333333333,0.9387406249314121
20260815,sequential,false,600,150,120,300,60,0.01,0.5,5452,90,0.10096296296296296,0.016507703595011004,0.983492296404989,0.9812615955473099,0.9988868274582561,0.9891976733450282,0.0046851851851851855,0.9716331589093914,0.9833333333333333,0.9047051141287688
20260815,sequential,true,600,150,120,300,60,0.01,0.5,5379,107,0.09961111111111111,0.019892173266406396,0.9801078267335936,0.9718468468468469,0.9915540540540541,0.9857930647724087,0.005648148148148148,0.9780485536229188,0.9666666666666667,0.927090963762159
20260815,simultaneous,false,600,150,120,300,60,0.01,0.5,5409,120,0.10016666666666667,0.022185246810870772,0.9778147531891292,0.976644245142003,0.9986920777279522,0.9879988836170807,0.0057777777777777775,0.9764945400703313,0.9833333333333333,0.9568562448662324
20260815,simultaneous,true,600,150,120,300,60,0.01,0.5,5386,129,0.09974074074074074,0.02395098403267731,0.9760490159673227,0.9691439322671684,0.992662276575729,0.984385226741468,0.0060185185185185185,0.9739921976592978,0.9666666666666667,0.917520740738406
20260816,sequential,false,600,150,120,300,60,0.01,0.5,5416,114,0.1002962962962963,0.021048744460856722,0.9789512555391433,0.9638733705772812,0.9858472998137803,0.9809815381760831,0.005462962962962963,0.966743648960739,1.0,0.9314848704738146
20260816,sequential,true,600,150,120,300,60,0.01,0.5,5492,109,0.1017037037037037,0.019847050254916242,0.9801529497450837,0.9657206044968669,0.9850718761518614,0.9824014665444546,0.005111111111111111,0.9733053935860059,0.9666666666666667,0.9575696201642339
20260816,simultaneous,false,600,150,120,300,60,0.01,0.5,5386,126,0.09974074074074074,0.023393984404010398,0.9766060155959896,0.9707042253521126,0.9936150234741784,0.9856141989724427,0.005703703703703704,0.9696350636085059,0.9166666666666666,0.9801734053358893
20260816,simultaneous,true,600,150,120,300,60,0.01,0.5,5414,121,0.10025925925925926,0.022349464351680826,0.9776505356483192,0.9773874042235097,0.9986918333021865,0.9883753371152236,0.005574074074074074,0.9777181952662722,1.0,0.9955198436486535
20260817,sequential,false,600,150,120,300,60,0.01,0.5,5437,114,0.10068518518518518,0.02096744528232481,0.9790325547176751,0.9709659408151871,0.9931137167318072,0.9846310526803074,0.005388888888888889,0.9709157846295444,0.95,0.9534136076184753
20260817,sequential,true,600,150,120,300,60,0.01,0.5,5356,120,0.09918518518518518,0.022404779686333084,0.977595220313667,0.9731416682428599,0.9962171363722337,0.9857975921745673,0.00587037037037037,0.9736497850868997,0.95,0.9075014928787365
20260817,simultaneous,false,600,150,120,300,60,0.01,0.5,5485,117,0.10157407407407408,0.021330902461257975,0.978669097538742,0.9671526111828751,0.9872670234360583,0.9831177172217634,0.005481481481481481,0.9700893671347802,0.9666666666666667,0.9498897416341615
20260817,simultaneous,true,600,150,120,300,60,0.01,0.5,5370,109,0.09944444444444445,0.020297951582867783,0.9797020484171323,0.9772299585999247,0.9975536319156943,0.9884842243235652,0.004851851851851852,0.9774632147513503,0.9833333333333333,0.9870989413736897
20260818,sequential,false,600,150,120,300,60,0.01,0.5,5312,110,0.09837037037037037,0.020707831325301206,0.9792921686746988,0.9715865751334859,0.992372234935164,0.984739336492891,0.0055,0.9687323413072142,0.9,0.9730029553157643
20260818,sequential,true,600,150,120,300,60,0.01,0.5,5416,107,0.1002962962962963,0.019756277695716397,0.9802437223042836,0.9714924538848518,0.9908701322899199,0.9857103089913705,0.004907407407407407,0.9786624792167006,0.9666666666666667,0.9705763567449277
20260818,simultaneous,false,600,150,120,300,60,0.01,0.5,5397,118,0.09994444444444445,0.021863998517695014,0.978136001482305,0.9719416386083053,0.9936401047512159,0.985936481326255,0.005666666666666667,0.9729328883945124,0.9666666666666667,0.9525686493646518
20260818,simultaneous,true,600,150,120,300,60,0.01,0.5,5366,110,0.09937037037037037,0.020499440924338426,0.9795005590756616,0.9760558069381599,0.9962292609351433,0.9880863039399624,0.005092592592592593,0.9770586589573813,1.0,0.9576925136754679
20260819,sequential,false,600,150,120,300,60,0.01,0.5,5447,109,0.10087037037037037,0.02001101523774555,0.9799889847622545,0.9745778437557988,0.9951753572091298,0.9867011451791651,0.0053518518518518516,0.9695021128054382,0.95,0.9598267816727462
20260819,sequential,true,600,150,120,300,60,0.01,0.5,5275,112,0.09768518518518518,0.021232227488151657,0.9787677725118483,0.8365587277256179,0.8758382831960145,0.907981310193573,0.005425925925925926,0.9712605520250404,0.9833333333333333,0.9772853214749743
20260819,simultaneous,false,600,150,120,300,60,0.01,0.5,5428,125,0.10051851851851852,0.02302873986735446,0.9769712601326456,0.964005967922417,0.9865721745617307,0.9816326530612245,0.005981481481481482,0.9660735687286808,1.0,0.9288587607283955
20260819,simultaneous,true,600,150,120,300,60,0.01,0.5,5366,115,0.09937037037037037,0.02143123369362654,0.9785687663063735,0.9740161928073809,0.9949162116362267,0.9870653294591808,0.005166666666666667,0.9775291375291375,0.95,0.9551018528344127
20260820,sequential,false,600,150,120,300,60,0.01,0.5,5428,101,0.10051851851851852,0.018607221812822403,0.9813927781871776,0.9626116071428571,0.98046875,0.9798148148148148,0.004740740740740741,0.9710652414301512,0.95,0.9424873888871067
20260820,sequential,true,600,150,120,300,60,0.01,0.5,5418,116,0.10033333333333333,0.021410114433370247,0.9785898855666297,0.9720149253731343,0.9940298507462687,0.9855166651193018,0.0053518518518518516,0.9751592944870255,0.9666666666666667,0.9484322281719397
20260820,simultaneous,false,600,150,120,300,60,0.01,0.5,5307,110,0.09827777777777778,0.020727341247409083,0.979272658752591,0.9607992388201713,0.9809705042816366,0.9805779251539555,0.004907407407407407,0.9706825037707391,0.9333333333333333,0.9738593463767273
20260820,simultaneous,true,600,150,120,300,60,0.01,0.5,5495,135,0.10175925925925926,0.02456778889899909,0.9754322111010009,0.900405754334194,0.9203246034673552,0.9500045867351619,0.0072037037037037035,0.9722095671981776,0.9833333333333333,0.9622893110907078
20260821,sequential,false,600,150,120,300,60,0.01,0.5,5340,106,0.09888888888888889,0.019850187265917602,0.9801498127340824,0.9610217596972563,0.98240302743614,0.9793862951807228,0.005296296296296296,0.9675999625433093,0.9833333333333333,0.9480075648712905
20260821,sequential,true,600,150,120,300,60,0.01,0.5,5439,105,0.10072222222222223,0.019305019305019305,0.9806949806949807,0.975283404571641,0.9947965062256087,0.9876040703052729,0.005574074074074074,0.9802171512697828,0.95,0.9829776680816944
20260821,simultaneous,false,600,150,120,300,60,0.01,0.5,5407,106,0.10012962962962962,0.019604216756056964,0.980395783243943,0.9787392763894069,0.9983215218202164,0.9893162393162394,0.004925925925925926,0.9733555370524563,0.95,0.950084264868466
20260821,simultaneous,true,600,150,120,300,60,0.01,0.5,5423,99,0.10042592592592593,0.018255578093306288,0.9817444219066938,0.969150715480394,0.9871771046273927,0.9846253588959897,0.004703703703703704,0.9773041793523388,0.95,0.9497163319601084
20260822,sequential,false,600,150,120,300,60,0.01,0.5,5366,107,0.09937037037037037,0.01994036526276556,0.9800596347372345,0.9640369045377518,0.9847486349086801,0.9813530734632684,0.005425925925925926,0.9693297287219167,0.95,0.9476899615805671
20260822,sequential,true,600,150,120,300,60,0.01,0.5,5410,90,0.10018518518518518,0.0166358595194085,0.9833641404805915,0.9388743943347,0.9567648155050317,0.9686281789493224,0.004314814814814815,0.9795710852283231,1.0,0.9827588187612185
20260822,simultaneous,false,600,150,120,300,60,0.01,0.5,5379,118,0.09961111111111111,0.02193716304145752,0.9780628369585425,0.9602102102102102,0.9816066066066066,0.9799962609833613,0.005666666666666667,0.9650232558139535,0.9666666666666667,0.9284909981277498
