seed,treatment,policy,fixed_risk_aversion,steps,burn_in,population,ring_x,ring_y,lookahead,error_rate,mixture_share,capability_mutation_rate,trait_mutation_scale,mean_convention_strength,coordinated_fraction,time_to_convention,completed_cells_per_car_step,mean_proposed_speed,mean_realized_speed,dangerous_proposal_acceptance,replacement_pressure,population_risk_mean,population_risk_std,survivor_risk_mean,selected_parent_risk_mean,final_risk_mean,final_risk_std,final_risk_q10,final_risk_median,final_risk_q90
20260908,fixed_0.5,fixed risk aversion,0.5,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9600583333333336,1.0,37,2.905304166666667,2.9665270833333333,2.979703641977287,0.4957774178621009,0.02496875,0.5,0.0,0.5,NaN,0.5,0.0,0.5,0.5,0.5
20260908,fixed_1.0,fixed risk aversion,1.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.961491666666667,0.99975,109,2.87896875,2.92405625,2.945814183514244,0.0,0.022691666666666666,1.0,0.0,1.0,NaN,1.0,0.0,1.0,1.0,1.0
20260908,uniform_entry,uniform entry risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9596291666666668,0.99975,26,2.9058854166666666,2.967297916666667,2.9803379849532807,0.4983184848663638,0.02498125,0.496573406946001,0.2883240782796438,0.49646776929579406,NaN,0.4880784028198067,0.28935657220253486,0.08037327272456804,0.5029226626736176,0.8906192848922194
20260908,uniform_evolutionary,uniform evolutionary risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9676916666666671,1.0,136,2.9191770833333335,2.9739541666666667,2.9847864198240917,0.547848813831926,0.02198125,0.43486167888753324,0.2264172904086262,0.4347610188725507,0.43930827096697284,0.23045807869836932,0.1898960368072456,0.0,0.1686441439783335,0.4830020953798282
20260909,fixed_0.0,fixed risk aversion,0.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9664208333333336,1.0,30,2.93775625,3.0,3.0,1.0,0.020747916666666668,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
20260909,fixed_0.5,fixed risk aversion,0.5,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9600125000000003,0.99925,123,2.9065916666666665,2.9673854166666667,2.980272700279621,0.49920179743392656,0.024722916666666667,0.5,0.0,0.5,NaN,0.5,0.0,0.5,0.5,0.5
20260909,fixed_1.0,fixed risk aversion,1.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9616916666666668,1.0,42,2.878270833333333,2.92383125,2.945784532589622,0.0,0.02291875,1.0,0.0,1.0,NaN,1.0,0.0,1.0,1.0,1.0
20260909,uniform_entry,uniform entry risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9601500000000002,0.99975,31,2.90608125,2.9673625,2.980449678755104,0.4985233313644418,0.024952083333333333,0.4988715803563986,0.290212824216047,0.49886549746657344,NaN,0.534052819035456,0.2859606907398762,0.1469503172531455,0.5391327902599876,0.9181383662677076
20260909,uniform_evolutionary,uniform evolutionary risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9697791666666671,1.0,68,2.9333958333333334,2.9877583333333333,2.993541062514351,0.753168044077135,0.020091666666666667,0.24466762380988155,0.17899365334577527,0.24459354263974256,0.2458049701643643,0.22391274201499245,0.18936826184627112,0.024820140322202738,0.20880494303604846,0.5263395246833669
20260910,fixed_0.0,fixed risk aversion,0.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9672333333333335,0.99975,55,2.93835,3.0,3.0,1.0,0.02055,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
