seed,replacement,speed_policy,speed_clearance,steps,burn_in,lookahead,mean_convention_strength,coordinated_fraction,replacement_rate,mean_proposed_speed,successful_progress,speed_one_share,speed_two_share,speed_three_share
20261008,static_entry,lane-first,0.0,5000,1000,20,0.9046375000000001,0.90325,0.03585833333333333,2.9192062499999993,2.8343604166666663,0.03235416666666667,0.016085416666666668,0.9515604166666667
20261008,static_entry,lane-first + 0.5,0.5,5000,1000,20,0.23925000000000002,0.00075,0.212825,2.12353125,1.7022541666666666,0.40763541666666664,0.061197916666666664,0.5311666666666667
20261008,static_entry,lane-first cap 2,0.0,5000,1000,20,0.9602750000000003,0.99875,0.012258333333333333,1.9869062499999988,1.9651312499999996,0.01309375,0.98690625,0.0
20261008,evolutionary,speed-first,0.0,5000,1000,20,0.8014958333333334,0.7275,0.04174375,2.9347645833333327,2.832927083333333,0.027397916666666668,0.010439583333333334,0.9621625
20261008,evolutionary,lane-first,0.0,5000,1000,20,0.9432375000000002,0.977,0.023402083333333334,2.9452,2.8895479166666664,0.0217875,0.011225,0.9669875
20261008,evolutionary,lane-first + 0.5,0.5,5000,1000,20,0.64755,0.22825,0.12079583333333334,2.0088104166666665,1.7755104166666664,0.47227708333333335,0.046635416666666665,0.4810875
20261008,evolutionary,lane-first cap 2,0.0,5000,1000,20,0.9649458333333336,1.0,0.011341666666666667,1.9872895833333324,1.9672437499999995,0.012710416666666667,0.9872895833333334,0.0
20261009,static_entry,speed-first,0.0,5000,1000,20,0.6157958333333333,0.407,0.07850625,2.882247916666667,2.6926645833333334,0.04945416666666667,0.01884375,0.9317020833333334
20261009,static_entry,lane-first,0.0,5000,1000,20,0.9292375000000002,0.9665,0.02860625,2.933922916666666,2.86635625,0.026433333333333333,0.013210416666666667,0.96035625
20261009,static_entry,lane-first + 0.5,0.5,5000,1000,20,0.27540416666666667,0.00325,0.21340625,2.1263687500000006,1.7036604166666667,0.40599375,0.06164375,0.5323625
20261009,static_entry,lane-first cap 2,0.0,5000,1000,20,0.9616500000000003,0.9995,0.011914583333333333,1.987112499999999,1.9659749999999996,0.0128875,0.9871125,0.0
20261009,evolutionary,speed-first,0.0,5000,1000,20,0.8421541666666666,0.78,0.04478541666666667,2.9292687500000003,2.8200729166666667,0.029672916666666667,0.011385416666666667,0.9589416666666667
20261009,evolutionary,lane-first,0.0,5000,1000,20,0.9481416666666669,0.98775,0.021445833333333334,2.9493208333333323,2.898616666666666,0.020177083333333335,0.010325,0.9694979166666666
20261009,evolutionary,lane-first + 0.5,0.5,5000,1000,20,0.7031208333333333,0.242,0.11400416666666667,1.9923812500000002,1.7731041666666665,0.4813208333333333,0.044977083333333334,0.47370208333333336
20261009,evolutionary,lane-first cap 2,0.0,5000,1000,20,0.9593625000000003,0.98425,0.012177083333333333,1.9867854166666656,1.9650604166666663,0.013214583333333333,0.9867854166666666,0.0
20261010,static_entry,speed-first,0.0,5000,1000,20,0.6249,0.405,0.07682291666666667,2.884879166666666,2.6987479166666666,0.048266666666666666,0.0185875,0.9331458333333333
20261010,static_entry,lane-first,0.0,5000,1000,20,0.9227708333333333,0.94375,0.029883333333333335,2.9295666666666667,2.859104166666667,0.028054166666666668,0.014325,0.9576208333333334
20261010,static_entry,lane-first + 0.5,0.5,5000,1000,20,0.21686250000000004,0.0,0.2184875,2.1269750000000003,1.6931729166666667,0.405575,0.061875,0.53255
20261010,static_entry,lane-first cap 2,0.0,5000,1000,20,0.9603583333333335,0.99775,0.012366666666666666,1.9868416666666657,1.9649124999999998,0.013158333333333333,0.9868416666666666,0.0
20261010,evolutionary,speed-first,0.0,5000,1000,20,0.8787375000000001,0.844,0.03579583333333333,2.943835416666666,2.856252083333333,0.02348541666666667,0.00919375,0.9673208333333333
20261010,evolutionary,lane-first,0.0,5000,1000,20,0.9405958333333334,0.9795,0.026110416666666667,2.938416666666666,2.8763249999999996,0.0245,0.012583333333333334,0.9629166666666666
20261010,evolutionary,lane-first + 0.5,0.5,5000,1000,20,0.5286958333333334,0.11375,0.13436666666666666,2.02430625,1.7642729166666669,0.4630666666666667,0.04956041666666667,0.48737291666666666
20261010,evolutionary,lane-first cap 2,0.0,5000,1000,20,0.9520416666666669,0.9795,0.01399375,1.9853020833333324,1.9604395833333328,0.014697916666666666,0.9853020833333334,0.0
20261011,static_entry,speed-first,0.0,5000,1000,20,0.6324583333333333,0.43525,0.08167291666666666,2.8797145833333335,2.682358333333333,0.05034583333333333,0.01959375,0.9300604166666666
20261011,static_entry,lane-first,0.0,5000,1000,20,0.9263916666666666,0.9555,0.029504166666666668,2.93271875,2.8627749999999996,0.026766666666666668,0.013747916666666667,0.9594854166666666
20261011,static_entry,lane-first + 0.5,0.5,5000,1000,20,0.24522083333333336,0.0015,0.21354375,2.124714583333333,1.7026083333333333,0.40719791666666666,0.06088958333333333,0.5319125
20261011,static_entry,lane-first cap 2,0.0,5000,1000,20,0.9607416666666668,1.0,0.012160416666666667,1.9869166666666656,1.9653666666666663,0.013083333333333334,0.9869166666666667,0.0
20261011,evolutionary,speed-first,0.0,5000,1000,20,0.9080583333333334,0.88375,0.036804166666666666,2.944470833333333,2.8537729166666663,0.02321875,0.009091666666666666,0.9676895833333333
20261011,evolutionary,lane-first,0.0,5000,1000,20,0.9135250000000001,0.926,0.024222916666666667,2.943587499999999,2.8860770833333325,0.022429166666666667,0.011554166666666667,0.9660166666666666
20261011,evolutionary,lane-first + 0.5,0.5,5000,1000,20,0.6643208333333334,0.2085,0.11925625,2.006197916666667,1.7775291666666666,0.47355833333333336,0.04668541666666667,0.47975625
20261011,evolutionary,lane-first cap 2,0.0,5000,1000,20,0.9631500000000002,0.99975,0.011602083333333334,1.987756249999999,1.9671187499999996,0.01224375,0.98775625,0.0
20261012,static_entry,speed-first,0.0,5000,1000,20,0.5906291666666666,0.41075,0.0814625,2.8793479166666667,2.6821979166666665,0.05056666666666667,0.01951875,0.9299145833333333
20261012,static_entry,lane-first,0.0,5000,1000,20,0.9314458333333334,0.969,0.027533333333333333,2.935114583333333,2.87009375,0.025995833333333333,0.01289375,0.9611104166666666
20261012,static_entry,lane-first + 0.5,0.5,5000,1000,20,0.24291250000000003,0.0,0.21375625,2.120614583333334,1.6970062499999998,0.4089479166666667,0.061489583333333334,0.5295625
20261012,static_entry,lane-first cap 2,0.0,5000,1000,20,0.9614708333333335,0.9995,0.011804166666666666,1.9869895833333324,1.9661104166666663,0.013010416666666667,0.9869895833333333,0.0
20261012,evolutionary,speed-first,0.0,5000,1000,20,0.8725291666666667,0.81475,0.04602291666666666,2.9278187499999997,2.8154270833333337,0.030270833333333334,0.011639583333333333,0.9580895833333334
20261012,evolutionary,lane-first,0.0,5000,1000,20,0.9466416666666666,0.98925,0.02296875,2.946277083333333,2.891775,0.021479166666666667,0.010764583333333333,0.96775625
20261012,evolutionary,lane-first + 0.5,0.5,5000,1000,20,0.6656333333333333,0.18675,0.12024583333333333,2.016327083333333,1.7849145833333333,0.4683375,0.04699791666666667,0.48466458333333334
20261012,evolutionary,lane-first cap 2,0.0,5000,1000,20,0.9641375000000001,0.99975,0.011466666666666667,1.9876145833333323,1.9671541666666663,0.012385416666666666,0.9876145833333333,0.0
20261013,static_entry,speed-first,0.0,5000,1000,20,0.6300500000000001,0.43625,0.08313958333333334,2.8777562500000005,2.67635625,0.05122708333333333,0.019789583333333333,0.9289833333333334
