strategy,initial_cars,replicate,final_age,trajectory_age,replacements,replacement_rate,switch_rate,final_abs_habitus,first_replacement
Mean habitus,10,25,75.8,34.61000000000001,14,0.014,0.23225,0.7083042553156876,2
Mean habitus,10,26,54.9,38.511,8,0.008,0.1845,0.45877037353800787,45
Mean habitus,10,27,90.0,42.775,10,0.01,0.038,0.9435940947097545,5
Mean habitus,10,28,72.0,42.504,8,0.008,0.16225,0.7559758789617513,13
Mean habitus,10,29,100.8,51.3,2,0.002,0.086,0.7559629936843759,1
Mean habitus,10,30,92.2,45.145,10,0.01,0.050249999999999996,0.8875212441187706,1
Mean habitus,10,31,94.5,46.323,4,0.004,0.10350000000000001,0.8551283272009021,21
Mean habitus,10,32,60.2,34.617999999999995,10,0.01,0.18575000000000003,0.8185161460783158,45
Mean habitus,10,33,65.3,32.906000000000006,14,0.014,0.18174999999999997,0.5635677809620832,4
Mean habitus,10,34,87.2,43.573999999999984,4,0.004,0.13974999999999999,0.9240268228822434,30
Mean habitus,10,35,100.2,50.708999999999996,6,0.006,0.15150000000000002,0.990329397273641,1
Mean habitus,10,36,68.3,37.037000000000006,8,0.008,0.095,0.9195510918832774,17
Mean habitus,10,37,100.8,51.3,2,0.002,0.029999999999999995,1.0,1
Mean habitus,10,38,78.2,42.044,4,0.004,0.03424999999999999,0.7392707704580024,45
Mean habitus,10,39,78.0,40.543,12,0.012,0.163,0.7028799805245998,3
Mean habitus,10,40,81.3,46.787,6,0.006,0.1255,0.7059591591223994,1
Mean habitus,10,41,51.2,33.48,10,0.01,0.22575,0.7309343265149861,40
Mean habitus,10,42,92.6,45.804,4,0.004,0.10499999999999998,0.8500765289683091,5
Mean habitus,10,43,98.7,49.33199999999999,6,0.006,0.16625,0.8256845361321499,1
Mean habitus,10,44,93.1,45.01300000000001,6,0.006,0.147,0.8755741395851846,17
Mean habitus,10,45,84.4,41.576,8,0.008,0.16099999999999998,0.522994392826155,4
Mean habitus,10,46,71.5,43.593,6,0.006,0.12475,0.5486478974984754,35
Mean habitus,10,47,57.8,34.56100000000001,16,0.016,0.16174999999999998,0.649786943589372,1
Mean habitus,10,48,80.0,47.59000000000001,8,0.008,0.07525,0.7305610799510345,1
Mean habitus,10,49,87.5,43.81700000000001,4,0.004,0.11249999999999999,0.825703699005459,43
Mean habitus,10,50,100.8,51.3,2,0.002,0.11299999999999999,0.7283673357879235,1
Mean habitus,10,51,91.6,46.424,2,0.002,0.08274999999999999,0.6518278005675981,47
Mean habitus,10,52,85.6,43.826,4,0.004,0.17675000000000002,0.5146129906287535,26
Mean habitus,10,53,70.4,37.092000000000006,14,0.014,0.10825000000000001,0.945429304740407,1
Mean habitus,10,54,79.2,45.626,6,0.006,0.21099999999999997,0.5457297149484488,16
Mean habitus,10,55,62.0,40.378,8,0.008,0.16725,0.6033021437832387,50
Mean habitus,10,56,85.4,43.376000000000005,6,0.006,0.1515,0.5676495672718138,4
Mean habitus,10,57,82.4,41.43600000000001,6,0.006,0.11575,0.890092608602157,11
Mean habitus,10,58,57.1,36.309,8,0.008,0.13699999999999998,0.5949637465769205,23
Mean habitus,10,59,44.7,36.785,12,0.012,0.15591666666666665,0.36298825378256694,32
Mean habitus,10,60,83.0,49.52,2,0.002,0.10999999999999999,0.5725623313170921,90
Mean habitus,10,61,89.3,43.81800000000001,8,0.008,0.09824999999999999,0.967434859024995,1
Mean habitus,10,62,94.0,46.88,2,0.002,0.10725,0.9705097030671903,35
Mean habitus,10,63,79.0,34.974000000000004,12,0.012,0.10099999999999999,0.9787539118793147,19
Mean habitus,10,64,98.7,49.34700000000001,4,0.004,0.10149999999999998,0.7996188962911227,7
Mean habitus,10,65,101.0,51.5,0,0.0,0.031999999999999994,1.0,101
Mean habitus,10,66,66.6,44.296000000000014,8,0.008,0.11074999999999999,0.4909012684736337,3
Mean habitus,10,67,69.8,38.56400000000001,6,0.006,0.21099999999999997,0.6701353631528658,38
Mean habitus,10,68,67.0,38.196000000000005,10,0.01,0.187,0.7213606410651268,4
Mean habitus,10,69,77.8,36.66400000000001,10,0.01,0.125,0.9989680553385281,14
Mean habitus,10,70,100.6,51.10400000000001,2,0.002,0.14525,0.7208342110322803,2
Mean habitus,10,71,72.6,42.82,10,0.01,0.15649999999999997,0.7089720055239921,2
Mean habitus,10,72,101.0,51.5,0,0.0,0.05199999999999999,0.9564102758754917,101
Mean habitus,10,73,76.0,43.85999999999999,6,0.006,0.08825,0.7346332669424451,31
Mean habitus,10,74,86.2,47.50399999999999,2,0.002,0.122,0.6212134510187337,74
Mean habitus,10,75,101.0,51.5,0,0.0,0.154,0.553594190819107,101
Mean habitus,10,76,94.4,46.09199999999999,4,0.004,0.11024999999999999,0.7911511216334083,10
Mean habitus,10,77,96.2,47.803999999999995,2,0.002,0.03625,1.0,24
Mean habitus,10,78,73.8,36.461999999999996,8,0.008,0.16550000000000004,0.6799559796004241,18
Mean habitus,10,79,72.6,46.59800000000001,6,0.006,0.17675000000000002,0.789464378412295,5
Mean habitus,10,80,89.5,45.89,6,0.006,0.059,1.0,1
Mean habitus,10,81,71.6,40.83,10,0.01,0.24975000000000003,0.5283764322377751,2
Mean habitus,10,82,46.6,37.31799999999999,12,0.012,0.20575,0.6877090416427576,1
Mean habitus,10,83,82.9,41.742000000000004,16,0.016,0.10733333333333332,0.7700713686653481,1
Mean habitus,10,84,81.0,51.3,2,0.002,0.0775,0.7713197710051654,100
Mean habitus,10,85,64.6,41.036,6,0.006,0.12325,0.6975167216910843,57
Mean habitus,10,86,89.6,46.48400000000001,2,0.002,0.09,0.4463818500369518,57
Mean habitus,10,87,92.9,46.074,6,0.006,0.1465,0.73330017218946,1
Mean habitus,10,88,92.4,44.80799999999999,6,0.006,0.205,0.7282335021723629,4
Mean habitus,10,89,101.0,51.5,0,0.0,0.071,0.9174296812410476,101
Mean habitus,10,90,76.8,46.5,4,0.004,0.10425,0.6845155434913563,80
Mean habitus,10,91,90.4,46.412,2,0.002,0.12399999999999999,0.6820121036538556,53
Mean habitus,10,92,75.8,39.567,8,0.008,0.09749999999999998,0.95721622311959,1
Mean habitus,10,93,96.5,47.763000000000005,6,0.006,0.060999999999999985,0.9990909090909093,1
Mean habitus,10,94,74.8,35.68000000000001,10,0.01,0.18083333333333332,0.539249733524969,19
Mean habitus,10,95,101.0,51.5,0,0.0,0.10999999999999999,0.873932437169494,101
Mean habitus,10,96,79.1,41.336000000000006,6,0.006,0.11275,0.6435409666481593,36
Mean habitus,10,97,64.6,38.258,12,0.012,0.3464999999999999,0.5890756696495438,14
Mean habitus,10,98,98.2,49.06399999999999,2,0.002,0.04724999999999999,0.9990990990990991,14
Mean habitus,10,99,70.1,46.75800000000001,8,0.008,0.1455,0.53861291796701,9
Mean habitus,10,100,75.0,42.57200000000001,6,0.006,0.1065,0.6964413769182538,2
Random,10,1,20.2,18.137,44,0.044,0.42424999999999996,0.29105530511518996,1
Random,10,2,11.7,16.854,38,0.038,0.45689285714285716,0.22306628544566393,1
Random,10,3,31.4,18.756,40,0.04,0.4478333333333333,0.21787356372295177,1
Random,10,4,25.2,18.096,37,0.037,0.46195238095238095,0.20563714187885532,12
Random,10,5,23.6,19.488,32,0.032,0.4285,0.18796638918331507,4
Random,10,6,16.2,19.432,41,0.041,0.4677976190476191,0.22175536263976622,3
Random,10,7,21.6,17.342,40,0.04,0.4646666666666666,0.2565187121280453,28
Random,10,8,20.5,17.168,32,0.032,0.4399285714285714,0.21984253484864472,7
Random,10,9,26.6,22.54,28,0.028,0.46224999999999994,0.36553316627405125,3
Random,10,10,20.3,21.044,30,0.03,0.43241666666666667,0.1845349351073851,12
Random,10,11,19.1,12.506999999999998,55,0.055,0.44279761904761905,0.25035202005699875,1
Random,10,12,22.7,19.497000000000003,40,0.04,0.44258333333333333,0.17887207074481248,4
Random,10,13,16.5,22.772999999999996,31,0.031,0.4526428571428572,0.20045418053002476,11
Random,10,14,45.4,23.843000000000004,29,0.029,0.45564285714285707,0.3657547462654121,1
Random,10,15,21.2,22.295999999999996,36,0.036,0.4660833333333333,0.20267083603844777,4
Random,10,16,21.4,24.59,28,0.028,0.428,0.18307422302859366,19
Random,10,17,22.8,16.523,41,0.041,0.45964285714285713,0.1780439644291081,1
Random,10,18,19.2,15.550999999999998,51,0.051,0.42228571428571426,0.20407252656349684,1
Random,10,19,19.0,15.445,44,0.044,0.409,0.19915584817134974,2
Random,10,20,30.5,19.98,41,0.041,0.4232857142857142,0.2692442141892085,3
Random,10,21,17.7,14.927999999999999,60,0.06,0.46441666666666664,0.0944419404368805,1
Random,10,22,18.3,13.735,57,0.057,0.46599999999999997,0.1838035754527889,2
